lambda,max_corr,delta_mean,delta_end,delta_min,corr_mean,bmc_mean,payout_mean
0.01,0.9999494159465647,0.00012622497513337496,0.01969109612080649,-0.0055206340463977415,0.03275994249565583,0.00011291140387925424,0.024700104116602794
0.015,0.9998852247468555,0.0001455865531523157,0.022711502291761245,-0.005965553773229807,0.03277930407367476,0.00015731471528692074,0.024820159104614447
0.019999999999999997,0.9997944049488015,0.00017096644663444648,0.026670765674973652,-0.006826566163010087,0.0328046839671569,0.000205545573074207,0.024952176445186762
0.024999999999999998,0.9996762657532261,0.00017182801526114235,0.026805170380738194,-0.008737885047747964,0.03280554553578359,0.00024191297764028055,0.025029551860391644
0.03,0.9995301797776789,0.00017494788857043382,0.027291870616987682,-0.010204811464522921,0.032808665409092885,0.0002826541560537583,0.025123969098790305
0.034999999999999996,0.9993555195315184,0.00018596766072986686,0.029010955073859205,-0.010170346498490548,0.03281968518125232,0.00032266092137359206,0.025223568358942797
0.039999999999999994,0.9991515817316541,0.00019273798573589285,0.03006712577479929,-0.010101964080241912,0.03282645550625834,0.0003659495748718847,0.02532510040148343
0.045,0.9989178797200711,0.00020162327965105262,0.031453231625564196,-0.010508882209086533,0.0328353408001735,0.00041012236254275717,0.02543110164018002
0.049999999999999996,0.9986536980991568,0.00020468373296179704,0.031930662342040325,-0.011258380501858808,0.032838401253484244,0.000452395055705435,0.025523917054500266
0.05499999999999999,0.998358252615585,0.0001938636824488222,0.030242734462016238,-0.012022498314694265,0.032827581202971266,0.00048702623219572266,0.02559342142834952
0.05999999999999999,0.9980307136299372,0.00021069523225120644,0.032868456231188226,-0.012086351702598783,0.03284441275277365,0.0005368045227475733,0.02571088966163976
0.06499999999999999,0.9976706432756671,0.00022177020447791503,0.034596151898554736,-0.012810521996093666,0.03285548772500036,0.0005843000265010896,0.025812540797461054
0.06999999999999999,0.9972768636922041,0.00022939505895664417,0.03578562919723649,-0.014647414110717303,0.0328631125794791,0.0006323439050842563,0.02591477837749135
0.07499999999999998,0.9968488935279062,0.00022945761063912788,0.035795387259703965,-0.01585194686169914,0.03286317513116158,0.000675267448192343,0.026003215754845137
0.07999999999999999,0.9963857444729635,0.00022063181688385816,0.03441856343388186,-0.017668133893700897,0.03285434933740631,0.0007150919718705307,0.026075905383623085
0.08499999999999998,0.9958867282122157,0.00020815023682118025,0.03247143694410413,-0.019076592222830258,0.03284186775734363,0.0007534708655954424,0.026148522152784306
0.08999999999999998,0.9953513344354835,0.00019126485673432724,0.029837317650555053,-0.02034314271328883,0.03282498237725678,0.0007907109769239771,0.026202954395976433
0.09499999999999999,0.9947785520871252,0.00018577031096775811,0.02898016851097028,-0.021241935261198965,0.032819487831490204,0.0008356430373211058,0.026272248929234944
0.09999999999999998,0.9941673449524551,0.00016494936792813908,0.02573210139678972,-0.02386391445959119,0.03279866688845058,0.0008723442214849448,0.026318070020519533
0.10499999999999998,0.9935163276775996,0.00015996439404377915,0.02495444547082952,-0.026148920530263024,0.032793681914566226,0.0009164324135343451,0.026388001576497126
0.10999999999999997,0.9928258860188072,0.00015278820259805398,0.023834959605296406,-0.028532207127706218,0.03278650572312051,0.0009593999304421696,0.026445877741225293
0.11499999999999998,0.992094108405943,0.00012230493938584353,0.019079570544191574,-0.032091912367453485,0.0327560224599083,0.0009939300090027637,0.026471366097803647
0.11999999999999998,0.9913203290959897,9.426000366004524e-05,0.014704560570967048,-0.03568705594718333,0.032727977524182494,0.0010284194375843598,0.026496842797845074
0.12499999999999997,0.9905044523104054,6.95942275719197e-05,0.010856699501219475,-0.039078343731235865,0.03270331174809437,0.001066586944288943,0.02653107560104759
0.12999999999999998,0.9896436195205915,5.466214922624009e-05,0.008527295279293478,-0.041251671564598615,0.03268837966974869,0.0011111368288659379,0.026584232000741493
0.13499999999999998,0.9887386959965984,2.88681351132237e-05,0.004503429077662874,-0.044480122236295834,0.03266258565563568,0.0011489707081630057,0.026610331195983068
0.13999999999999999,0.9877879417413544,1.7303470049973756e-06,0.00026993413277960274,-0.04833225147521361,0.032635447867527444,0.0011860713398192562,0.026642296842033345
0.145,0.986789907823147,-2.1971313007305307e-05,-0.003427524829139628,-0.052345661855527595,0.03261174620751515,0.001224846730354668,0.026681206319259593
0.15,0.985744686723958,-4.7340962541537554e-05,-0.0073851901564798515,-0.055404406353030955,0.03258637655798091,0.001265666080113187,0.026716161333910114
0.155,0.9846491365650016,-7.797703794366674e-05,-0.012164417919212007,-0.05905980582889862,0.032555740482578775,0.001304294781093063,0.026747161386913226
0.15999999999999998,0.9835042639670202,-0.0001030981274026498,-0.016083307874813362,-0.06253700833457698,0.0325306193931198,0.0013468519843947023,0.026783953646626547
0.16499999999999998,0.9823081488587584,-0.00013497604862328948,-0.021056263585233173,-0.06616393070829923,0.032498741471899156,0.0013852302554586483,0.02681710023556662
