model,lambda,max_corr,delta_mean,delta_end,delta_min,corr_mean,bmc_mean,payout_mean
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.06,0.9984122023363456,-0.00027882842198960754,-0.04349723383037876,-0.04349723383037876,0.03235488909853284,2.9185273930692667e-07,0.024111202491787515
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.08,0.9971136252754295,-0.0003759953052437618,-0.05865526761802685,-0.05865526761802685,0.032257722215278686,1.431955896568765e-05,0.0240622590542476
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.1,0.9953899801800958,-0.0005284010535427583,-0.08243056435267036,-0.08243056435267036,0.03210531646697969,6.0439076450897215e-06,0.02392325726629963
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.12,0.9932168600178202,-0.0006466750624050535,-0.10088130973518836,-0.10088130973518836,0.0319870424581174,2.3269073534328722e-05,0.02386801363089826
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.15,0.9890619350832327,-0.000885728277079236,-0.1381736112243608,-0.1381736112243608,0.03174798924344321,2.9617130577653634e-05,0.02369891075834274
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.2,0.9795560839167083,-0.001298892297186256,-0.20262719836105597,-0.20262719836105597,0.03133482522333619,5.346224441559647e-05,0.023424766669927263
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.25,0.966533067505206,-0.0018137412624885912,-0.2829436369482205,-0.2829436369482205,0.03081997625803386,5.957436355594725e-05,0.02292693267382431
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.3,0.949713419083205,-0.0023718764693911785,-0.3700127292250237,-0.3700127292250237,0.03026184105113127,8.446024933439008e-05,0.0223881372744127
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.4,0.9040390455837202,-0.0036224753494342185,-0.5651061545117382,-0.5651061545117382,0.029011242171088227,0.0001971771575002556,0.02132419115784274
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.5,0.8425214515952513,-0.005207627601310614,-0.8123899058044559,-0.8123899058044559,0.027426089919211832,0.0002886641945908469,0.01987710029032707
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,0.75,0.63849474143238,-0.01001383674436572,-1.5621585321210516,-1.5642142598506503,0.022619880776156728,0.0006400884686280334,0.015919317747268142
xgb_strict_direct_medium_full_d5lr3e2_walkfwd,1.0,0.4196847924955955,-0.01756991742342379,-2.74090711805411,-2.752361956898993,0.015063800097098658,0.0009227170060803935,0.010567388763650628
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.01,0.9999498620522038,5.41390219416501e-05,0.008445687422897415,-0.0067466152324847095,0.032687856542464096,7.310199947706394e-05,0.02452493360544887
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.02,0.9997958457536672,5.450961013768354e-05,0.008503499181478632,-0.008204874780904103,0.032688227130660136,0.00013217711162840227,0.02465672920624055
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.03,0.9995324011149981,5.031246479002643e-05,0.007848744507244123,-0.01281426625674361,0.032684029985312474,0.00019492704401903073,0.02479666716792262
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.04,0.9991537831627522,4.6032071516131676e-05,0.007181003156516547,-0.014453114062568698,0.03267974959203858,0.00025532878496831364,0.02492729073098958
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.05,0.9986540528486512,2.933502986887087e-05,0.004576264659543855,-0.016976171329127952,0.03266305255039132,0.0003143485562124776,0.02505038980176335
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.06,0.9980270790081133,-1.5930892772087142e-05,-0.002485219272445594,-0.021735265021437238,0.03261778662775037,0.0003638657374563463,0.025123379918188138
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.08,0.9963659355404082,-7.186915837053481e-05,-0.01121158870580344,-0.034463239107284764,0.03256184836215191,0.0004884247036671095,0.02534119892498047
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.1,0.9941176130281673,-0.00016708493666951128,-0.02606525012044375,-0.05184223564105358,0.032466632583852933,0.0006005548232325906,0.025501427427418087
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.12,0.9912266429047608,-0.00028638201731353327,-0.04467559470091118,-0.07150210474027689,0.03234733550320891,0.0007151837664599416,0.025633134589332435
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.15,0.9855580652036301,-0.00046211727606234747,-0.07209029506572628,-0.10436675164119535,0.0321716002444601,0.0009004432964348242,0.02582199264655782
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.2,0.9720529332087529,-0.0008189424703997136,-0.12775502538235525,-0.16383903880912049,0.031814775050122736,0.0012373564680058875,0.02606900121129942
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.25,0.9526447937393436,-0.0012559311348378564,-0.19592525703470548,-0.23262012855605593,0.03137778638568459,0.001603074752893267,0.026203037063244033
xgb_strict_resid008_medium_full_d5lr3e2_walkfwd,0.3,0.9264333522209125,-0.00181904547738454,-0.28377109447198834,-0.31914380566594835,0.030814672043137915,0.001971420267164212,0.026180204181751928
